Benchmark,Preprocessor,Solver,Timeout,Command,Ingest Duration (ns),Preprocess Duration (ns),SAT Solver Duration (ns),Theory Solver Duration (ns),Graph Overhead Duration (ns),Learn Overhead Duration (ns),Solver Calls,Theory Solver Loops,,,,,,,
bench/queens_bench/super_queen/super_queen100-1.smt2,tie-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/super_queen/super_queen100-1.smt2,1669434303,85524616,257954460435,34314599838,261555812577,46124314123,"33,464","132,036,170",,1.669,0.086,257.954,34.315,261.556,46.124
,,,,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2 ; cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,,,,,,,,,,,,,,,
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,nil,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='nil' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,2071452088,231,319411088102,38407726779,171139935694,71015270159,"21,300","159,824,587",,2.071,0.000,319.411,38.408,171.140,71.015
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,t-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,2011781496,16740803,275422855819,21393340493,238256616788,64894323326,"20,638","87,553,756",,2.012,0.017,275.423,21.393,238.257,64.894
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,t-quad,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='t-quad' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,1956798309,26028566,282573696127,28558114847,226191365659,62629756438,"18,948","115,381,428",,1.957,0.026,282.574,28.558,226.191,62.630
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,tie-lin,tarjan,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-lin' --solver='tarjan' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,2018218066,49310564,281023936563,18622408137,239644135683,60676134573,"20,638","75,473,975",,2.018,0.049,281.024,18.622,239.644,60.676
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,tie-quad,bf-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-basic' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,1940555696,84928484,34419566328,522808140962,37466066461,5249435043,"3,116","3,146,417,159",,1.941,0.085,34.420,522.808,37.466,5.249
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,tie-quad,bf-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='bf-full' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,2024075740,88325891,35870237901,521243024310,37185896526,5648985231,"3,107","3,137,423,877",,2.024,0.088,35.870,521.243,37.186,5.649
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,tie-quad,spfa-basic,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-basic' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,2038180649,87113618,33971085736,525370132463,35440486967,5196064095,"3,113","3,160,422,309",,2.038,0.087,33.971,525.370,35.440,5.196
bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,tie-quad,spfa-full,10m,cpulimit -l 100 -- ./qf-idl-solver --preprocessor='tie-quad' --solver='spfa-full' --stats --csv --timeout='10m' bench/queens_bench/toroidal_bench/toroidal_queen100-1.smt2,1983758538,95139871,293363753228,37379148904,213872016788,55356951983,"18,534","801,610,666",,1.984,0.095,293.364,37.379,213.872,55.357
